Location,Jam Factor,Num_Vehicles
Worli,0.8,8.0
Amdar Sachin Bhau Ahir Chowk/Dr R. G. Thadani Marg,2.7,27.0
Peter Alwaris Chowk/Worli Road/Dr Annie Besant Road,3.4,34.0
Lower Pochkhanwala Marg,2.7,27.0
Lower Pochkhanwala Marg,2.6,26.0
Javji Dadaji Road/Tardeo Road/Dr Anand Rao Nair Road,1.7,17.0
Sudam Kalu Ahire Marg,0.6,6.0
Haji Usman Seth Rakhangi Chowk/Senapati Bapat Marg,6.4,64.0
Anna Bahu Sathe Chowk/Drainage Channel Marg/Dainik Shivneri Marg,3.2,32.0
Dr G. M. Bhosale Marg,1.0,10.0
Bhula Bhai Desai Road/Dr E. Moses Road,1.0,10.0
Dr R. G. Thadani Marg,10.0,100.0
R. G. Kharat Chowk/Laxmi Narsimha Papan Marg,2.3,23.0
Ganpatrao Kadam Road,1.0,10.0
R. G. Kharat Chowk/Laxmi Narsimha Papan Marg,3.4,34.0
Dr Annie Besant Road/Dr A. B. Road,0.8,8.0
Dr Annie Besant Road/Love Grove Road,5.4,54.0
Bellasis Road/Jahangir Boman Behram Road,4.5,45.0
Prof. Narendra Ganpat Bansode Marg,3.3,33.0
Ganpat Jadhav Marg,0.9,9.0
Shankar Rao Naram Road,1.1,11.0
Acharaya Atre Chowk/Dr Annie Besant Road/Ganpatrao Kadam Marg,3.4,34.0
Shree Shantinath Chowk/Ganpatrao Kadam Marg,1.9,19.0
Haji Usman Seth Rakhangi Chowk/Dr E. Moses Road/Haines Road,3.8,38.0
Naty Digdarshak T. S. Satam Chowk/Pandurang Budhkar Marg,3.6,36.0
Khan Abdul Gaffar Khan Road/Abdul Gaffar Khan Marg,2.3,23.0
Abdul Gaffar Khan Marg,6.4,64.0
Rajni Patel Chowk/Seth Motilal G. Sanghi Road,5.2,52.0
Pandurang Budhkar Marg,1.6,16.0
Dr G. M. Bhosale Marg,0.4,4.0
Shree Shantinath Chowk/Ganpatrao Kadam Marg,2.6,26.0
Haji Usman Seth Rakhangi Chowk/Dr E. Moses Road/Haines Road,3.6,36.0
Gell Street,5.0,50.0
Dr R. G. Thadani Marg,10.0,100.0
Prof. Narendra Ganpat Bansode Marg,1.4,14.0
C. S. Rane Marg/Hutatma Chadrakant Shridhar Rane Marg,2.6,26.0
Comrade P. K. Kurne Chowk/Dr G. M. Bhosale Marg,1.8,18.0
Haji Usman Seth Rakhangi Chowk/Senapati Bapat Marg,4.6,46.0
Shree P. T. Patel Chowk/Bapurao Jagtap Marg/Keshavrao Khadye Marg,0.5,5.0
Upper Senapati Bapat Marg South,2.6,26.0
Acharaya Atre Chowk/Dr Annie Besant Road/Ganpatrao Kadam Marg,2.7,27.0
Bhanjibhai Rathod Road,2.7,27.0
Shivram Seth Amritwar Marg,0.8,8.0
Anna Bahu Sathe Chowk/Dr E. Moses Road,0.6,6.0
Comrade P. K. Kurne Chowk/Dr G. M. Bhosale Marg,1.5,15.0
Sudam Kalu Ahire Marg,2.5,25.0
Acharaya Atre Chowk/Dr Annie Besant Road/Ganpatrao Kadam Marg,5.4,54.0
Peter Alwaris Chowk/Dr R. G. Thadani Marg,4.2,42.0
Naty Digdarshak T. S. Satam Chowk/Pandurang Budhkar Marg,4.4,44.0
Acharaya Atre Chowk/Dr Annie Besant Road/Ganpatrao Kadam Marg,5.5,55.0
Naty Digdarshak T. S. Satam Chowk/Dr Annie Besant Road/Worli Road,1.1,11.0
Late Sadashivrao Shirke Chowk/Shankar Manaji Mohite Marg,3.8,38.0
Babasaheb Gawde Chowk/Meghraj Sethi Marg/Souter Street,3.8,38.0
Dr Annie Besant Road/Love Grove Road,10.0,100.0
Dr Annie Besant Road/Lala Lajpat Rai Marg/Hornby Vellard Road,5.1,51.0
Comrade P. K. Kurne Chowk/Pandurang Budhkar Marg,1.9,19.0
Khan Abdul Gaffar Khan Road/Abdul Gaffar Khan Marg,2.7,27.0
D. C. Marg/D. S. Marg/Shivram Seth Amrutwar Marg,10.0,100.0
Bhanjibhai Rathod Road,0.6,6.0
Ganpat Jadhav Marg,1.7,17.0
Rajni Patel Chowk/Seth Motilal G. Sanghi Road,2.7,27.0
S. B. Marg/Senapati Bapat Marg/Gowala Chawl Lane/Gowala Chawl,10.0,100.0
Shree P. T. Patel Chowk/Bapurao Jagtap Marg/Keshavrao Khadye Marg,1.1,11.0
MD Abubakar Siddiq Bakshi Chowk/Dr Anand Rao Nair Road,1.4,14.0
Amdar Sachin Bhau Ahir Chowk/Dr R. G. Thadani Marg,2.0,20.0
Dr E. Moses Road/Bhula Bhai Desai Road/Dr Gopalrao Deshmukh Road,3.3,33.0
Late Raghuraj Krushnanand Upadhyay Chowk/Shivram Seth Amrutwar Marg,1.1,11.0
Naty Digdarshak T. S. Satam Chowk/Dr Annie Besant Road/Worli Road,1.6,16.0
Worli,3.7,37.0
Ganpatrao Kadam Road,1.0,10.0
Lala Lajpat Rai Marg,4.3,43.0
Sudam Kalu Ahire Marg,4.2,42.0
Lala Lajpat Rai Marg,1.5,15.0
Acharaya Atre Chowk/Ganpatrao Kadam Marg,3.6,36.0
Comrade P. K. Kurne Chowk/Pandurang Budhkar Marg,2.7,27.0
Shri Nilkantheswar Mandir Chowk/Ganpat Jadhav Road,3.5,35.0
Peter Alwaris Chowk/Dr R. G. Thadani Marg,2.9,29.0
Hanuman Lane/Ramlal Singh Yadav Chowk/Sankarrao Narayan Path,3.0,30.0
Shri Nilkantheswar Mandir Chowk/Ganpat Jadhav Road,1.2,12.0
Anna Bahu Sathe Chowk/Dr E. Moses Road,1.9,19.0
Peter Alwaris Chowk/Worli Road/Dr Annie Besant Road,5.1,51.0
Shree Ganesh Laxmanrao Kelkar Chowk/Laxmi Narsimha Papan Marg,2.1,21.0
